celltype	strategy	stage	n_rows	n_units	n_cells	frac_zero_cov	mean_all	sd_all	n_cov	mean_cov	sd_cov
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	proportion	IVprimary	2224728	7378	99	0.000000	0.328320	0.308344	2224728	0.328320	0.308344
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	proportion	Met	8786552	7378	391	0.000000	0.328320	0.307453	8786552	0.328320	0.307453
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	proportion	StageI	23910208	7378	1064	0.000000	0.328320	0.308102	23910208	0.328320	0.308102
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	shannon	Normal	9067562	7378	1229	0.928528	0.558297	0.489045	648074	0.699306	0.325938
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	shannon	IVprimary	730422	7378	99	0.965353	0.562820	0.492177	25307	0.670741	0.332743
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	shannon	Met	2884798	7378	391	0.984161	0.565159	0.493749	45693	0.662300	0.315497
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	shannon	StageI	7850192	7378	1064	0.970760	0.563450	0.492605	229543	0.676800	0.324644
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NE_CELLS	classic	Met	572964	5026	114	0.967085	0.012183	0.092259	18859	0.370123	0.355132
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NE_CELLS	classic	StageI	467418	5026	93	0.945528	0.019983	0.119297	25461	0.366858	0.366080
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NE_CELLS	proportion	Met	3294486	8179	114	0.000000	0.283020	0.287972	3294486	0.283020	0.287972
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NE_CELLS	proportion	StageI	2687607	8179	93	0.000000	0.283020	0.289472	2687607	0.283020	0.289472
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NE_CELLS	shannon	Met	932406	8179	114	0.947484	0.608957	0.483369	48966	0.754786	0.315780
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NE_CELLS	shannon	StageI	760647	8179	93	0.919870	0.604684	0.480977	60951	0.735063	0.314033
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NK_CELLS	classic	Met	371924	5026	74	0.984725	0.005771	0.067195	5681	0.377827	0.393738
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NK_CELLS	classic	StageI	2593416	5026	516	0.975636	0.009918	0.087952	63185	0.407092	0.394738
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NK_CELLS	proportion	Met	2138526	8179	74	0.000000	0.283020	0.287428	2138526	0.283020	0.287428
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NK_CELLS	proportion	StageI	14911884	8179	516	0.000000	0.283020	0.288272	14911884	0.283020	0.288272
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NK_CELLS	shannon	Met	605246	8179	74	0.974210	0.610596	0.484588	15609	0.729681	0.288329
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NK_CELLS	shannon	StageI	4220364	8179	516	0.961279	0.608186	0.483323	163415	0.713669	0.288271
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES	classic	IVprimary	419256	5823	72	0.977756	0.008014	0.078778	9326	0.360292	0.389960
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES	classic	Met	1036494	5823	178	0.968423	0.011298	0.088731	32729	0.357807	0.354056
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES	classic	StageI	826866	5823	142	0.973086	0.010846	0.091298	22254	0.402979	0.389466
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES	proportion	IVprimary	2482704	9412	72	0.000000	0.272954	0.286125	2482704	0.272954	0.286125
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES	proportion	Met	6137796	9412	178	0.000000	0.272954	0.285992	6137796	0.272954	0.285992
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES	proportion	StageI	4896444	9412	142	0.000000	0.272954	0.286491	4896444	0.272954	0.286491
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES	shannon	IVprimary	677664	9412	72	0.961987	0.613296	0.482769	25760	0.735277	0.294671
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES	shannon	Met	1675336	9412	178	0.950237	0.613592	0.482681	83370	0.756364	0.318680
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES	shannon	StageI	1336504	9412	142	0.956134	0.612188	0.482215	58627	0.716005	0.303387
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS	classic	Normal	1399460	4190	334	0.955614	0.016265	0.108890	62117	0.366448	0.372571
